eps',eps'',Type,Diametre,r_m freq pic 1,r_m freq pic 2,r_m freq pic 3,r_m freq pic 4,r_m freq pic 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,r_m valeur 2.2 GHz,r_m freq maximum bande_freq 1,t_m valeur 0.4 GHz,t_m maximum bande_freq 1 + surface,t_m surface 0.65 GHz,t_m maximum bande_freq 1,t_m freq minimum bande_freq 1
4,0.3,BOIS,SOL3,0.1,0.815068493150685,2.00684931506849,2.64814090019569,3,431.76088596800787,2182.6706620630994,1295.0847401311935,704.5803950621244,-19.619910014952,-28.3441265964261,-17.222374441589,-20.4724749853696,0.514285714285714,1.33150684931507,2.30763209393346,2.99432485322896,-2.385712435422402,-1.5346195659835011,-0.2959106973376997,-0.4928437358958,2.148599454310098,1.2925544621877023,0.32277838859580044,-0.008152589233990426,-12.6641046537339,8.20743639921722e-10,-40.534666115686,-37.934595760113325,356.30995721673594,-37.934595760113325,1.99549902152642
5,0.6,BOIS,SOL3,0.1,0.809393346379648,1.98414872798434,2.64246575342466,3,448.23152476668776,2130.5978411288734,1293.305048248475,666.2161804713077,-21.1211859175153,-28.1186050736624,-16.941136086161,-19.2395869175383,0.50293542074364,1.32015655577299,2.29628180039139,2.99432485322896,-2.6646381454161023,-1.4954019983576003,-0.29370295832800153,-0.5468458796541,2.510479814796799,1.2789701079964004,0.3195793658096999,-0.004725145405430453,-12.9530807509512,8.093933463796481e-10,-41.9039430025891,-39.78009404659791,375.26877189306435,-39.78009404659791,1.99549902152642
6,0.9,BOIS,SOL3,0.1,0.798043052837573,1.97847358121331,2.63679060665362,3,453.7354079049994,2066.6073268047103,1278.1962245911243,679.4364327686548,-23.1619171725474,-26.1057563975675,-16.6182635338946,-19.4007691704293,0.491585127201566,1.30880626223092,2.29628180039139,2.99432485322896,-3.4075728508653995,-1.2442857657102024,-0.2807135491483006,-0.5650197127096988,3.1828932616963,1.0439097265336983,0.3095778425229003,-0.006565998474290069,-13.0195658948295,7.980430528375731e-10,-42.4096103426592,-42.372747031094924,387.5095740074429,-42.372747031094924,1.99549902152642
7,1.1,BOIS,SOL3,0.1,0.792367906066536,1.97279843444227,2.64814090019569,3,442.6514108640058,2018.1107815189644,1275.152646470027,600.6503301128495,-21.2302774119209,-26.6987800754555,-16.6442166375804,-16.8235849590479,0.485909980430528,1.29745596868885,2.29060665362035,2.99432485322896,-2.814944470611799,-1.3748230056122033,-0.29323110970030086,-0.43279198018029774,2.5176855000929983,1.1763492804848994,0.3266333425745991,-0.006630115687709548,-12.9692313231004,7.92367906066536e-10,-43.7144399598134,-43.98981911448726,380.00245431641633,-43.98981911448726,1.99549902152642
8,1.4,BOIS,SOL3,0.1,0.786692759295499,1.96712328767123,2.64246575342466,3,433.8689618344833,2008.3300719529002,1236.7366718324947,613.0913774148133,-20.097950458447,-28.3787890525046,-15.6395314178286,-17.2254217779829,0.480234833659491,1.29178082191781,2.29060665362035,2.99432485322896,-2.546755901161598,-1.6591603579559973,-0.2526948987894997,-0.45966542260779875,2.2289247530215004,1.4911059138383003,0.2853078591395004,-0.006977568102220388,-12.673970967758,7.86692759295499e-10,-44.6388906945973,374.5384194245469,374.5384194245469,-45.52515820292858,1.99549902152642
9,1.8,BOIS,SOL3,0.1,0.786692759295499,1.97279843444227,2.64246575342466,3,414.3965757181294,1989.5904158173864,1203.909797685148,618.5014988278882,-18.5431676624506,-29.4031547420177,-15.1019755432568,-17.1747302617716,0.480234833659491,1.28610567514677,2.29060665362035,2.99432485322896,-2.1217106977117,-1.9292781392165992,-0.23755837861780016,-0.426700454368099,1.840917768553,1.7245526038413992,0.26409264372579955,-0.007350324726509427,-12.1781122682905,7.86692759295499e-10,-44.7982131282618,357.0821824284584,357.0821824284584,-46.18075571269925,1.99549902152642
10,2.1,BOIS,SOL3,0.1,0.781017612524462,1.96712328767123,2.64246575342466,3,402.1320159543777,1971.4493746735561,1189.9381983076457,593.2580303102425,-17.5642011538044,-31.5321979272222,-15.0327037685494,-16.6906754476194,0.480234833659491,1.28043052837573,2.29060665362035,2.99432485322896,-1.9530567977438,-2.448078958621302,-0.24268103152340004,-0.4426462567184011,1.654340009961901,2.2210957799292004,0.2731123062962997,-0.006750050557170262,-12.1880495396672,7.86692759295499e-10,-45.7274659180128,348.0118264896644,348.0118264896644,-60.015928240220234,1.99549902152642
11,2.5,BOIS,SOL3,0.1,0.781017612524462,1.9614481409002,2.63111545988258,3,395.80790298196985,1948.713525171265,1187.809546166348,637.6420051841931,-17.2635966163134,-31.8532985834777,-15.0427060880968,-17.6717998402303,0.480234833659491,1.28043052837573,2.28493150684932,2.99432485322896,-1.9256523326525006,-2.527508430132798,-0.24384853271799933,-0.46542787325070023,1.6436425588019006,2.433242730897401,0.2701262078194997,-0.005063989482149367,-12.2890486220835,7.81017612524462e-10,-44.3378098371552,342.8223219659511,342.8223219659511,-39.07368273471216,1.99549902152642
12,2.8,BOIS,SOL3,0.1,0.786692759295499,1.97279843444227,2.64246575342466,3,392.62757580992195,1956.7321952954976,1163.2058457631726,596.5512122721708,-16.6981639637865,-33.7619102572737,-14.7603135501657,-16.8338435102947,0.480234833659491,1.28043052837573,2.29628180039139,2.99432485322896,-1.7889723094773,-3.2020594732040983,-0.23880888749029872,-0.4368747894717977,1.5258050955767004,3.1237948024432995,0.26568669895580044,-0.0072539832990505815,-11.7285091343779,7.86692759295499e-10,-45.5215590852715,337.4658704984779,337.4658704984779,-47.31490377646885,1.97847358121331
13,3.1,BOIS,SOL3,0.1,0.786692759295499,1.96712328767123,2.63679060665362,3,390.89052383971404,1950.6611636960417,1147.4027394660002,596.342920922598,-16.3702266331185,-36.661135913691,-14.3913800381104,-16.735568624121,0.480234833659491,1.28043052837573,2.29060665362035,2.99432485322896,-1.7153040755930995,-4.0686965305689,-0.22392266200299993,-0.4449858133449993,1.4537204336483995,4.083828847816701,0.2528663688205004,-0.0042238001604806286,-11.6695330907037,7.86692759295499e-10,-45.9987353084018,335.7518688221739,335.7518688221739,-48.15959825442465,1.94442270058708
14,3.6,BOIS,SOL3,0.1,0.792367906066536,1.98414872798434,2.64246575342466,3,393.12529360936657,2008.0551018486228,1151.1761655436148,601.8641485396815,-16.6450827043019,-35.7025329067821,-14.6320196367665,-17.1681080184528,0.485909980430528,1.29178082191781,2.29628180039139,2.99432485322896,-1.7786236467075014,-3.960306503924201,-0.22981929452169858,-0.44247695367129936,1.507987363882,3.4652154431497024,0.26051010717080025,-0.003756506041129981,-11.6977134783487,7.92367906066536e-10,-43.808228710369,334.7305542712729,334.7305542712729,-43.3943386587105,1.95577299412916
